text,meaning,example
ability,"yetenek; kabiliyet","She has the ability to learn languages very quickly."
accept,"kabul etmek","Please accept this gift as a token of my appreciation."
achieve,"başarmak; elde etmek","You need to work hard to achieve your dreams."
activity,"aktivite; etkinlik","Swimming is a healthy physical activity."
admit,"itiraf etmek; kabul etmek","He didn't want to admit that he was wrong."
affect,"etkilemek","The weather can affect your mood significantly."
afford,"maddi gücü yetmek","I cannot afford to buy a new car right now."
agree,"katılmak; hemfikir olmak","I completely agree with your opinion."
allow,"izin vermek","They do not allow smoking in this building."
amount,"miktar","Please pay the full amount by Friday."
announce,"duyurmak; ilan etmek","The company will announce the results tomorrow."
appear,"görünmek; ortaya çıkmak","He tried to appear calm during the interview."
apply,"başvurmak; uygulamak","She decided to apply for the job."
approach,"yaklaşım; yaklaşmak","We need a new approach to solve this problem."
argue,"tartışmak","They often argue about politics."
arrange,"düzenlemek; ayarlamak","Can you arrange a meeting for next week?"
arrive,"varmak; ulaşmak","We expect to arrive in London at 5 PM."
article,"makale; madde","I read an interesting article about technology."
assume,"varsaymak","I assume you know how to use this software."
attack,"saldırı; saldırmak","The army prepared to attack the city."
attempt,"girişim; denemek","This is his second attempt to pass the exam."
attend,"katılmak (bir yere)","Are you planning to attend the conference?"
attitude,"tutum; tavır","Her positive attitude motivates the whole team."
author,"yazar","Who is the author of this book?"
available,"müsait; mevcut","Is this seat available?"
avoid,"kaçınmak","You should avoid eating too much sugar."
aware,"farkında","I was not aware of the problem until you told me."
base,"temel; dayandırmak","The movie is based on a true story."
behavior,"davranış","His behavior towards his colleagues was unprofessional."
belief,"inanç","Respecting others' beliefs is important."
benefit,"fayda; yararlanmak","Regular exercise will benefit your health."
blame,"suçlamak","Don't blame others for your own mistakes."
budget,"bütçe","We need to stick to our monthly budget."
career,"kariyer; meslek","She wants to pursue a career in medicine."
cause,"sebep; neden olmak","Smoking is a major cause of lung cancer."
certain,"kesin; belirli","I am certain that he will come."
challenge,"zorluk; meydan okumak","Learning a new language is a big challenge."
change,"değişim; değiştirmek","You need to change your password regularly."
character,"karakter","He is a man of strong character."
choice,"seçim","You have to make a choice between the two options."
choose,"seçmek","Please choose the color you like best."
claim,"iddia etmek; talep etmek","He claims to have seen a ghost."
clear,"açık; net; temizlemek","The instructions were very clear and easy to follow."
common,"yaygın; ortak","Colds are very common in winter."
community,"topluluk","We need to support our local community."
compare,"karşılaştırmak","Don't compare yourself to others."
complain,"şikayet etmek","He always complains about the weather."
complete,"tamamlamak; tam","The project is finally complete."
concern,"endişe; ilgilendirmek","My main concern is the safety of the children."
condition,"durum; koşul","The car is in excellent condition."
confirm,"onaylamak","Could you please confirm the meeting time?"
connect,"bağlamak; bağlanmak","I cannot connect to the internet."
consider,"düşünmek; göz önünde bulundurmak","You should consider all options before deciding."
contain,"içermek","This box contains fragile items."
continue,"devam etmek","Please continue working on the project."
control,"kontrol etmek","He struggled to control his anger."
convince,"ikna etmek","It was hard to convince him to stay."
correct,"doğru; düzeltmek","Your answer is correct."
cost,"maliyet; mal olmak","How much does this jacket cost?"
create,"yaratmak; oluşturmak","We want to create a better future."
damage,"hasar; zarar vermek","The storm caused significant damage to the roof."
danger,"tehlike","Children may not understand the danger of fire."
deal,"anlaşma; başa çıkmak","We made a deal with the supplier."
decide,"karar vermek","I haven't decided where to go on holiday yet."
decision,"karar","Making a decision can be difficult sometimes."
decrease,"azalmak; azaltmak","We need to decrease our spending."
defend,"savunmak","He tried to defend his actions."
define,"tanımlamak","It is difficult to define happiness."
degree,"derece; diploma","She has a degree in engineering."
delay,"gecikme; ertelemek","The flight was subject to a long delay."
deliver,"teslim etmek","They deliver groceries to your door."
demand,"talep; talep etmek","The workers demanded higher wages."
deny,"inkar etmek; reddetmek","He denied stealing the money."
depend,"bağlı olmak","It depends on the weather."
describe,"betimlemek; tarif etmek","Can you describe the thief?"
design,"tasarım; tasarlamak","Who designed this beautiful building?"
destroy,"yok etmek","The fire completely destroyed the house."
detail,"detay","Please explain the plan in detail."
develop,"geliştirmek","Exercise helps develop strong muscles."
difference,"fark","There is a big difference between the two cars."
difficult,"zor","The exam was more difficult than I expected."
direct,"doğrudan; yönetmek","Is there a direct flight to New York?"
discover,"keşfetmek","Columbus discovered America in 1492."
discuss,"tartışmak (konuşmak)","We need to discuss this matter privately."
disease,"hastalık","Doctors are trying to cure the disease."
distance,"mesafe","The distance between the two cities is 100 km."
doubt,"şüphe; şüphelenmek","I doubt that he is telling the truth."
drive,"sürmek","Do you know how to drive a car?"
drop,"düşürmek","Be careful not to drop the vase."
duty,"görev","It is my duty to help you."
earn,"kazanmak (para/itibar)","She earns a good salary at her new job."
effect,"etki","The medicine had a quick effect."
effort,"çaba","He put a lot of effort into this project."
employ,"işe almak; istihdam etmek","The factory employs over 500 workers."
empty,"boş","The glass is completely empty."
encourage,"cesaretlendirmek; teşvik etmek","My parents always encourage me to study hard."
enjoy,"keyif almak; tadını çıkarmak","I really enjoy reading science fiction books."
ensure,"sağlamak; garantiye almak","Please ensure that the door is locked."
enter,"girmek","You cannot enter without a ticket."
environment,"çevre","We must protect the environment for future generations."
equipment,"ekipman; donanım","We need new equipment for the gym."
establish,"kurmak; tesis etmek","The company was established in 1990."
event,"etkinlik; olay","The concert was the biggest event of the year."
evidence,"kanıt","There is no evidence to support his claim."
exist,"var olmak","Do you believe that aliens exist?"
expect,"beklemek (ummak)","I expect him to arrive shortly."
expense,"masraf; gider","Travel expenses will be paid by the company."
experience,"deneyim; tecrübe","She has five years of experience in sales."
explain,"açıklamak","Can you explain why you are late?"
express,"ifade etmek","He found it hard to express his feelings."
fail,"başarısız olmak","If you don't study, you will fail the exam."
faith,"inanç; güven","I have faith in your abilities."
fall,"düşmek","Leaves fall from the trees in autumn."
fear,"korku; korkmak","He has a fear of heights."
feature,"özellik","The main feature of this phone is its camera."
feed,"beslemek","Don't forget to feed the cat."
feel,"hissetmek","I feel much better today."
fight,"kavga etmek; savaşmak","They fight like cats and dogs."
figure,"rakam; şekil; anlamak","I can't figure out how to open this box."
fill,"doldurmak","Please fill the glass with water."
final,"son; final","This is your final warning."
find,"bulmak","Did you find your keys?"
finish,"bitirmek","I need to finish my homework before dinner."
fit,"uymak; sığmak; formda","This shirt doesn't fit me anymore."
fix,"tamir etmek","Can you fix my broken bicycle?"
flight,"uçuş","My flight was cancelled due to bad weather."
focus,"odaklanmak","I need to focus on my studies."
follow,"takip etmek; izlemek","Follow me, I will show you the way."
force,"güç; zorlamak","They used force to open the door."
foreign,"yabancı","Learning a foreign language opens many doors."
forget,"unutmak","Don't forget to lock the door."
form,"form; biçim; oluşturmak","Please fill out this application form."
free,"özgür; bedava","The best things in life are free."
fresh,"taze","I bought some fresh vegetables from the market."
full,"dolu; tok","I can't eat anymore, I am full."
fund,"fon; finanse etmek","The project is funded by the government."
future,"gelecek","We need to plan for the future."
gain,"kazanmak; elde etmek","He gained a lot of weight during the holidays."
gather,"toplamak; toplanmak","The clouds are starting to gather."
general,"genel","In general, I agree with what you said."
generation,"nesil; kuşak","This tradition has been passed down for generations."
goal,"hedef; amaç","My main goal is to learn English."
grow,"büyümek; yetiştirmek","Plants need water and sunlight to grow."
guard,"koruma; nöbetçi","The security guard checked our bags."
guess,"tahmin etmek","Can you guess how old I am?"
guide,"rehber; yol göstermek","The guide showed us around the museum."
happen,"olmak; meydana gelmek","What happened to your car?"
health,"sağlık","Smoking is bad for your health."
heavy,"ağır","This box is too heavy to lift."
help,"yardım etmek","Can you help me with this problem?"
history,"tarih","He is very interested in Roman history."
hold,"tutmak; düzenlemek (toplantı vb.)","Please hold the line, I'll connect you."
hope,"umut; ummak","I hope everything goes well."
huge,"kocaman; devasa","They live in a huge house."
identify,"tanımlamak; kimliğini saptamak","Can you identify the man in this photo?"
ignore,"görmezden gelmek","Don't ignore the warning signs."
image,"görüntü; imaj","The company is trying to improve its image."
imagine,"hayal etmek","I can't imagine life without music."
impact,"etki; darbe","The internet has had a huge impact on society."
improve,"geliştirmek; iyileştirmek","I want to improve my English speaking skills."
